day_label,date,activity,type,time_1,timezone_1_label
August 11,2025-08-11,"""Ouverture des portes, rafraîchissements, et réseautage Mot de bienvenue et introduction""",activity,08:30,"Time (ET)"
August 11,2025-08-11,"Tour de table pour l’introduction des participants, enseignants, et TAs (nom, affiliation, recherche, question pour briser la glace)",activity,09:00,"Time (ET)"
August 11,2025-08-11,Module 1 Cours: Introduction au RNA-seq (Virginie Calderon),activity,09:30,"Time (ET)"
August 11,2025-08-11,Pause-café et réseautage,activity,11:00,"Time (ET)"
August 11,2025-08-11,Module 1 Pratique pt. 1 (Ludovic Malet),activity,11:30,"Time (ET)"
August 11,2025-08-11,Pause dîner et réseautage,activity,12:30,"Time (ET)"
August 11,2025-08-11,Pratique pt. 2 (Ludovic Malet),activity,13:30,"Time (ET)"
August 11,2025-08-11,Pause-café et réseautage,activity,14:30,"Time (ET)"
August 11,2025-08-11,Pipeline d’analyse RNA-seq et formats de fichiers (Virginie Calderon),activity,15:00,"Time (ET)"
August 11,2025-08-11,Fin,activity,16:30,"Time (ET)"
August 12,2025-08-12,"Ouverture des portes, rafraîchissements, et réseautage",activity,08:30,"Time (ET)"
August 12,2025-08-12,Module 2 Pratique pt. 1 Virginie Calderon,activity,09:00,"Time (ET)"
August 12,2025-08-12,Pause-café et réseautage,activity,10:00,"Time (ET)"
August 12,2025-08-12,Module 2 Pratique pt. 2 Virginie Calderon,activity,10:30,"Time (ET)"
August 12,2025-08-12,Pause dîner et réseautage,activity,11:30,"Time (ET)"
August 12,2025-08-12,Analyse différentielle d’expression  Virginie Calderon,activity,12:30,"Time (ET)"
August 12,2025-08-12,Pause-café et réseautage,activity,14:00,"Time (ET)"
August 12,2025-08-12,Module 3 Pratique pt. 1 Virginie Calderon,activity,14:30,"Time (ET)"
August 12,2025-08-12,Fin,activity,16:00,"Time (ET)"
August 13,2025-08-13,"Ouverture des portes, rafraîchissements, et réseautage",activity,08:30,"Time (ET)"
August 13,2025-08-13,Module 3 Pratique pt. 2 Virginie Calderon,activity,09:00,"Time (ET)"
August 13,2025-08-13,Pause-café et réseautage,activity,11:00,"Time (ET)"
August 13,2025-08-13,Introduction pour l’analyse avancée RNA-seq et Apportez vos données Virginie Calderon,activity,11:30,"Time (ET)"
August 13,2025-08-13,Pause dîner et réseautage; photo de classe,activity,12:30,"Time (ET)"
August 13,2025-08-13,Module 4 Pratique pt. 1  Virginie Calderon,activity,13:30,"Time (ET)"
August 13,2025-08-13,Pause-café et réseautage,activity,15:00,"Time (ET)"
August 13,2025-08-13,Module 4 Pratique pt. 2 Virginie Calderon,activity,15:30,"Time (ET)"
August 13,2025-08-13,Enquête et remarques finales,activity,16:30,"Time (ET)"
August 13,2025-08-13,Fin,activity,17:00,"Time (ET)"
